MEASURE,NEXT MEASURE,RANDOM MEASURE
MIDIMeasures/p5l86.mid,MIDIMeasures/p5l87.mid,MIDIMeasures/p10l4.mid
MIDIMeasures/p0l318.mid,MIDIMeasures/p0l319.mid,MIDIMeasures/p0l257.mid
MIDIMeasures/p8l90.mid,MIDIMeasures/p8l91.mid,MIDIMeasures/p5l53.mid
MIDIMeasures/p9l2.mid,MIDIMeasures/p9l3.mid,MIDIMeasures/p24l61.mid
MIDIMeasures/p1l23.mid,MIDIMeasures/p1l24.mid,MIDIMeasures/p1l52.mid
MIDIMeasures/p21l43.mid,MIDIMeasures/p21l44.mid,MIDIMeasures/p3l49.mid
MIDIMeasures/p21l127.mid,MIDIMeasures/p21l128.mid,MIDIMeasures/p14l149.mid
MIDIMeasures/p15l95.mid,MIDIMeasures/p15l96.mid,MIDIMeasures/p20l83.mid
MIDIMeasures/p15l149.mid,MIDIMeasures/p15l150.mid,MIDIMeasures/p7l47.mid
MIDIMeasures/p10l212.mid,MIDIMeasures/p10l213.mid,MIDIMeasures/p10l227.mid
MIDIMeasures/p18l72.mid,MIDIMeasures/p18l73.mid,MIDIMeasures/p5l33.mid
MIDIMeasures/p22l381.mid,MIDIMeasures/p22l382.mid,MIDIMeasures/p24l40.mid
MIDIMeasures/p7l25.mid,MIDIMeasures/p7l26.mid,MIDIMeasures/p0l29.mid
MIDIMeasures/p4l220.mid,MIDIMeasures/p4l221.mid,MIDIMeasures/p10l216.mid
MIDIMeasures/p20l72.mid,MIDIMeasures/p20l73.mid,MIDIMeasures/p10l232.mid
MIDIMeasures/p22l215.mid,MIDIMeasures/p22l216.mid,MIDIMeasures/p4l221.mid
MIDIMeasures/p24l112.mid,MIDIMeasures/p24l113.mid,MIDIMeasures/p21l64.mid
MIDIMeasures/p23l5.mid,MIDIMeasures/p23l6.mid,MIDIMeasures/p10l126.mid
MIDIMeasures/p10l78.mid,MIDIMeasures/p10l79.mid,MIDIMeasures/p15l41.mid
MIDIMeasures/p0l251.mid,MIDIMeasures/p0l252.mid,MIDIMeasures/p9l92.mid
MIDIMeasures/p20l42.mid,MIDIMeasures/p20l43.mid,MIDIMeasures/p15l22.mid
MIDIMeasures/p14l39.mid,MIDIMeasures/p14l40.mid,MIDIMeasures/p14l221.mid
MIDIMeasures/p10l127.mid,MIDIMeasures/p10l128.mid,MIDIMeasures/p24l68.mid
MIDIMeasures/p23l10.mid,MIDIMeasures/p23l11.mid,MIDIMeasures/p26l49.mid
MIDIMeasures/p24l38.mid,MIDIMeasures/p24l39.mid,MIDIMeasures/p18l4.mid
MIDIMeasures/p5l59.mid,MIDIMeasures/p5l60.mid,MIDIMeasures/p24l73.mid
MIDIMeasures/p20l63.mid,MIDIMeasures/p20l64.mid,MIDIMeasures/p14l126.mid
MIDIMeasures/p20l30.mid,MIDIMeasures/p20l31.mid,MIDIMeasures/p0l57.mid
MIDIMeasures/p17l38.mid,MIDIMeasures/p17l39.mid,MIDIMeasures/p13l31.mid
MIDIMeasures/p21l90.mid,MIDIMeasures/p21l91.mid,MIDIMeasures/p25l21.mid
MIDIMeasures/p8l56.mid,MIDIMeasures/p8l57.mid,MIDIMeasures/p22l160.mid
MIDIMeasures/p7l13.mid,MIDIMeasures/p7l14.mid,MIDIMeasures/p25l11.mid
MIDIMeasures/p20l101.mid,MIDIMeasures/p20l102.mid,MIDIMeasures/p10l9.mid
MIDIMeasures/p22l262.mid,MIDIMeasures/p22l263.mid,MIDIMeasures/p4l125.mid
MIDIMeasures/p15l133.mid,MIDIMeasures/p15l134.mid,MIDIMeasures/p14l211.mid
MIDIMeasures/p12l14.mid,MIDIMeasures/p12l15.mid,MIDIMeasures/p21l115.mid
MIDIMeasures/p9l68.mid,MIDIMeasures/p9l69.mid,MIDIMeasures/p21l75.mid
